frame,num_atoms,num_adsorbates,count_As,count_Al,count_Re,count_Co,count_H,count_Si,count_Pt,count_Ti,count_S,count_Te,count_Ca,count_K,count_Se,count_V,count_Zr,count_Ge,count_Mn,count_Bi,count_Sn,count_Ga,count_N,count_Au,count_Hf,count_C,count_O,count_Fe,count_Cs,count_Cl,count_Tc,count_Sc,count_Ni,count_Ta,count_In,count_Ir,count_Rh,count_Os,count_Mo,count_Nb,count_Cr,count_Ag,count_Rb,count_Y,count_Sb,count_Sr,count_Pb,count_Cu,count_Pd,count_Tl,count_Na,count_P,count_Hg,count_Cd,count_Zn,count_Ru,count_W,count_B
623,2580,174,32.0,48.0,24.0,28.0,95,24.0,132.0,36.0,138.0,88.0,58.0,73.0,16.0,0.0,90.0,7.0,44.0,0.0,73.0,0.0,189,126.0,120.0,46,33,0.0,16.0,0.0,0.0,32.0,0.0,20.0,149.0,0.0,32.0,0.0,84.0,68.0,18.0,142.0,18.0,40.0,49.0,12.0,28.0,56.0,10.0,0.0,60.0,30.0,88.0,56.0,52.0,0.0,0.0,0.0
624,3207,449,24.0,36.0,0.0,0.0,308,174.0,88.0,146.0,64.0,48.0,52.0,32.0,208.0,0.0,92.0,94.0,48.0,20.0,24.0,100.0,56,0.0,60.0,100,41,0.0,0.0,0.0,0.0,36.0,76.0,32.0,88.0,120.0,0.0,36.0,84.0,0.0,32.0,32.0,32.0,24.0,80.0,16.0,0.0,110.0,72.0,0.0,120.0,128.0,94.0,0.0,72.0,72.0,36.0,0.0
625,2781,192,64.0,0.0,36.0,0.0,96,126.0,88.0,56.0,304.0,48.0,96.0,48.0,24.0,76.0,24.0,16.0,36.0,0.0,48.0,16.0,62,0.0,68.0,47,49,24.0,0.0,189.0,6.0,92.0,0.0,0.0,24.0,36.0,0.0,40.0,104.0,68.0,80.0,108.0,29.0,24.0,56.0,21.0,28.0,88.0,92.0,32.0,0.0,96.0,36.0,32.0,36.0,12.0,0.0,0.0
626,2810,177,0.0,48.0,0.0,88.0,78,216.0,80.0,16.0,152.0,42.0,72.0,36.0,64.0,0.0,48.0,104.0,16.0,8.0,72.0,44.0,17,88.0,124.0,54,45,40.0,0.0,64.0,32.0,50.0,52.0,0.0,20.0,0.0,0.0,56.0,96.0,36.0,36.0,48.0,0.0,50.0,80.0,32.0,8.0,18.0,136.0,24.0,0.0,164.0,8.0,0.0,120.0,128.0,0.0,0.0
627,2883,189,8.0,40.0,0.0,16.0,99,80.0,20.0,54.0,100.0,128.0,76.0,0.0,92.0,48.0,0.0,144.0,0.0,24.0,96.0,116.0,69,54.0,137.0,51,39,32.0,0.0,108.0,0.0,0.0,40.0,48.0,0.0,0.0,16.0,96.0,36.0,36.0,0.0,72.0,18.0,67.0,24.0,8.0,120.0,32.0,146.0,12.0,112.0,96.0,39.0,52.0,106.0,52.0,24.0,0.0
628,2696,261,162.0,0.0,0.0,68.0,148,48.0,76.0,72.0,250.0,56.0,94.0,0.0,144.0,0.0,24.0,24.0,12.0,106.0,0.0,60.0,63,12.0,84.0,69,44,0.0,16.0,24.0,24.0,0.0,94.0,12.0,36.0,0.0,72.0,30.0,0.0,90.0,0.0,24.0,0.0,146.0,0.0,30.0,44.0,48.0,76.0,0.0,24.0,100.0,12.0,10.0,80.0,40.0,48.0,0.0
629,3002,394,0.0,42.0,0.0,0.0,318,180.0,60.0,280.0,120.0,24.0,32.0,24.0,120.0,116.0,24.0,76.0,20.0,0.0,0.0,216.0,65,76.0,124.0,48,28,0.0,18.0,80.0,0.0,39.0,72.0,0.0,120.0,0.0,54.0,0.0,60.0,16.0,60.0,36.0,16.0,56.0,12.0,64.0,48.0,40.0,32.0,40.0,0.0,12.0,40.0,64.0,30.0,0.0,0.0,0.0
630,2503,247,60.0,40.0,0.0,0.0,154,27.0,48.0,128.0,32.0,130.0,88.0,72.0,80.0,0.0,24.0,116.0,16.0,0.0,60.0,90.0,44,27.0,30.0,56,37,48.0,0.0,94.0,0.0,38.0,88.0,20.0,30.0,0.0,34.0,60.0,27.0,18.0,0.0,34.0,76.0,80.0,20.0,0.0,16.0,72.0,32.0,36.0,80.0,27.0,0.0,24.0,142.0,48.0,0.0,0.0
631,2907,303,0.0,88.0,36.0,27.0,157,36.0,99.0,48.0,285.0,32.0,48.0,36.0,178.0,27.0,96.0,36.0,0.0,0.0,0.0,226.0,13,16.0,96.0,97,49,0.0,20.0,68.0,0.0,46.0,120.0,9.0,60.0,0.0,51.0,36.0,58.0,24.0,16.0,74.0,0.0,100.0,0.0,24.0,60.0,48.0,52.0,21.0,8.0,72.0,21.0,24.0,144.0,16.0,9.0,0.0
632,2943,300,0.0,50.0,72.0,40.0,205,56.0,56.0,144.0,136.0,16.0,32.0,48.0,60.0,20.0,144.0,104.0,78.0,0.0,72.0,136.0,121,48.0,132.0,52,43,20.0,0.0,32.0,0.0,12.0,60.0,72.0,100.0,60.0,92.0,0.0,0.0,0.0,0.0,56.0,0.0,64.0,16.0,64.0,16.0,56.0,156.0,0.0,48.0,16.0,48.0,12.0,42.0,36.0,0.0,0.0
633,2515,242,92.0,56.0,72.0,0.0,142,0.0,12.0,88.0,132.0,48.0,63.0,80.0,44.0,0.0,0.0,32.0,0.0,32.0,16.0,284.0,48,60.0,12.0,64,36,18.0,16.0,48.0,0.0,108.0,42.0,0.0,104.0,52.0,102.0,0.0,6.0,60.0,18.0,0.0,32.0,72.0,34.0,30.0,16.0,16.0,28.0,12.0,56.0,64.0,66.0,56.0,28.0,0.0,18.0,0.0
634,3073,240,16.0,0.0,0.0,0.0,145,34.0,47.0,108.0,228.0,52.0,32.0,68.0,216.0,50.0,27.0,92.0,0.0,0.0,124.0,87.0,64,76.0,56.0,51,44,0.0,40.0,110.0,0.0,54.0,80.0,108.0,184.0,18.0,0.0,80.0,32.0,54.0,64.0,28.0,16.0,16.0,36.0,72.0,0.0,112.0,34.0,0.0,60.0,92.0,0.0,0.0,104.0,56.0,6.0,0.0
635,3446,589,12.0,26.0,0.0,112.0,427,80.0,0.0,27.0,128.0,58.0,76.0,0.0,128.0,87.0,56.0,99.0,0.0,0.0,8.0,142.0,112,0.0,80.0,120,42,32.0,0.0,0.0,0.0,136.0,240.0,0.0,172.0,20.0,24.0,0.0,16.0,0.0,12.0,36.0,0.0,20.0,34.0,112.0,0.0,86.0,160.0,0.0,32.0,80.0,16.0,124.0,112.0,66.0,96.0,0.0
636,2962,356,24.0,56.0,72.0,0.0,255,43.0,48.0,32.0,230.0,0.0,144.0,0.0,108.0,18.0,212.0,64.0,0.0,32.0,48.0,48.0,36,16.0,36.0,66,35,81.0,12.0,128.0,48.0,56.0,128.0,0.0,120.0,36.0,44.0,0.0,18.0,84.0,0.0,52.0,8.0,24.0,24.0,0.0,0.0,80.0,36.0,48.0,36.0,160.0,0.0,20.0,20.0,28.0,48.0,0.0
637,2623,226,72.0,88.0,70.0,0.0,109,0.0,40.0,96.0,417.0,56.0,24.0,16.0,76.0,0.0,36.0,16.0,12.0,12.0,48.0,48.0,71,16.0,40.0,81,36,24.0,16.0,96.0,18.0,80.0,0.0,24.0,32.0,16.0,50.0,0.0,54.0,10.0,6.0,54.0,48.0,44.0,86.0,0.0,16.0,62.0,148.0,0.0,24.0,96.0,0.0,52.0,87.0,0.0,0.0,0.0
638,2945,324,96.0,24.0,0.0,24.0,188,8.0,0.0,48.0,180.0,160.0,32.0,0.0,162.0,0.0,8.0,112.0,16.0,0.0,120.0,56.0,46,16.0,96.0,87,49,48.0,78.0,60.0,32.0,68.0,18.0,0.0,126.0,64.0,24.0,0.0,187.0,16.0,0.0,88.0,32.0,44.0,24.0,90.0,16.0,32.0,122.0,20.0,8.0,88.0,20.0,0.0,48.0,48.0,16.0,0.0
639,3081,179,0.0,48.0,0.0,32.0,89,108.0,192.0,191.0,196.0,40.0,52.0,0.0,228.0,0.0,112.0,76.0,80.0,40.0,54.0,44.0,87,32.0,24.0,58,32,40.0,16.0,32.0,0.0,40.0,24.0,0.0,12.0,0.0,32.0,0.0,72.0,32.0,0.0,0.0,52.0,80.0,72.0,112.0,88.0,160.0,32.0,0.0,120.0,48.0,18.0,32.0,68.0,52.0,32.0,0.0
640,3113,189,136.0,110.0,0.0,12.0,106,48.0,134.0,252.0,196.0,20.0,36.0,0.0,196.0,0.0,20.0,96.0,0.0,0.0,40.0,104.0,19,12.0,15.0,49,34,16.0,0.0,0.0,12.0,122.0,48.0,48.0,76.0,0.0,54.0,24.0,72.0,0.0,24.0,12.0,120.0,12.0,0.0,56.0,16.0,64.0,156.0,164.0,44.0,68.0,56.0,124.0,78.0,0.0,12.0,0.0
641,3352,279,72.0,96.0,0.0,98.0,184,64.0,46.0,60.0,480.0,88.0,152.0,12.0,202.0,60.0,36.0,156.0,8.0,28.0,0.0,20.0,85,166.0,58.0,60,35,36.0,52.0,0.0,0.0,32.0,8.0,192.0,0.0,36.0,24.0,44.0,16.0,36.0,30.0,44.0,0.0,0.0,40.0,32.0,24.0,0.0,0.0,48.0,102.0,0.0,56.0,26.0,168.0,40.0,0.0,0.0
642,3207,376,48.0,108.0,0.0,48.0,273,136.0,60.0,0.0,160.0,32.0,129.0,24.0,200.0,64.0,70.0,64.0,8.0,0.0,0.0,16.0,90,128.0,52.0,54,49,24.0,96.0,84.0,0.0,0.0,124.0,48.0,134.0,68.0,0.0,0.0,36.0,0.0,0.0,61.0,52.0,48.0,28.0,72.0,67.0,8.0,8.0,0.0,64.0,140.0,40.0,8.0,52.0,132.0,0.0,0.0
643,2841,190,80.0,94.0,16.0,72.0,101,112.0,168.0,154.0,120.0,116.0,48.0,0.0,92.0,64.0,24.0,80.0,0.0,0.0,40.0,72.0,30,140.0,48.0,53,36,0.0,12.0,112.0,0.0,48.0,32.0,48.0,27.0,104.0,102.0,0.0,36.0,16.0,32.0,0.0,80.0,24.0,56.0,32.0,0.0,118.0,16.0,42.0,0.0,48.0,20.0,20.0,16.0,16.0,24.0,0.0
644,2933,298,32.0,109.0,0.0,26.0,156,208.0,28.0,24.0,248.0,32.0,140.0,62.0,0.0,180.0,152.0,15.0,0.0,27.0,24.0,40.0,82,0.0,0.0,101,41,10.0,0.0,0.0,0.0,0.0,0.0,16.0,72.0,48.0,92.0,48.0,80.0,0.0,10.0,36.0,40.0,28.0,48.0,0.0,12.0,56.0,120.0,116.0,72.0,32.0,48.0,0.0,142.0,80.0,0.0,0.0
645,3037,382,0.0,28.0,16.0,0.0,277,136.0,16.0,124.0,145.0,84.0,48.0,61.0,24.0,74.0,68.0,52.0,16.0,28.0,32.0,220.0,80,64.0,96.0,54,51,0.0,0.0,88.0,0.0,32.0,24.0,0.0,24.0,0.0,104.0,8.0,0.0,16.0,50.0,0.0,44.0,0.0,32.0,48.0,32.0,162.0,0.0,0.0,148.0,124.0,0.0,32.0,99.0,92.0,84.0,0.0
646,2950,209,32.0,131.0,0.0,48.0,120,32.0,16.0,84.0,252.0,112.0,36.0,24.0,112.0,42.0,148.0,32.0,12.0,40.0,112.0,48.0,23,16.0,48.0,47,42,32.0,12.0,72.0,0.0,37.0,176.0,0.0,32.0,12.0,54.0,0.0,36.0,16.0,58.0,0.0,0.0,64.0,50.0,44.0,16.0,86.0,106.0,136.0,104.0,28.0,32.0,30.0,108.0,0.0,0.0,0.0
647,2934,179,68.0,230.0,76.0,0.0,94,128.0,0.0,211.0,164.0,12.0,40.0,36.0,54.0,0.0,36.0,24.0,0.0,60.0,68.0,70.0,28,96.0,28.0,49,36,0.0,16.0,48.0,40.0,20.0,12.0,44.0,96.0,112.0,36.0,24.0,0.0,0.0,16.0,0.0,28.0,12.0,136.0,84.0,80.0,12.0,112.0,0.0,94.0,192.0,0.0,0.0,52.0,44.0,16.0,0.0
648,2839,206,88.0,140.0,0.0,0.0,100,24.0,68.0,124.0,158.0,104.0,0.0,64.0,64.0,0.0,0.0,84.0,8.0,8.0,108.0,0.0,55,48.0,24.0,52,54,36.0,26.0,32.0,18.0,48.0,36.0,78.0,64.0,32.0,140.0,20.0,57.0,72.0,30.0,44.0,12.0,48.0,0.0,36.0,0.0,80.0,124.0,0.0,28.0,48.0,72.0,16.0,116.0,112.0,39.0,0.0
649,2848,203,120.0,56.0,0.0,0.0,91,208.0,146.0,0.0,320.0,156.0,24.0,0.0,86.0,72.0,12.0,12.0,0.0,60.0,60.0,144.0,38,66.0,52.0,73,39,64.0,0.0,136.0,16.0,12.0,127.0,0.0,90.0,0.0,24.0,0.0,60.0,32.0,0.0,0.0,6.0,20.0,24.0,0.0,0.0,72.0,0.0,0.0,262.0,0.0,24.0,12.0,0.0,32.0,0.0,0.0
650,3269,205,136.0,72.0,0.0,48.0,100,368.0,135.0,160.0,128.0,48.0,176.0,74.0,104.0,0.0,0.0,56.0,48.0,9.0,56.0,120.0,39,16.0,116.0,66,39,140.0,0.0,0.0,0.0,20.0,24.0,140.0,47.0,0.0,16.0,0.0,72.0,0.0,12.0,36.0,68.0,0.0,76.0,24.0,16.0,40.0,60.0,36.0,56.0,80.0,64.0,24.0,48.0,32.0,24.0,0.0
651,2772,310,52.0,56.0,0.0,88.0,200,84.0,16.0,48.0,160.0,168.0,0.0,62.0,60.0,36.0,231.0,64.0,30.0,0.0,20.0,64.0,120,34.0,74.0,54,56,36.0,44.0,80.0,16.0,56.0,142.0,0.0,32.0,0.0,8.0,0.0,0.0,40.0,64.0,80.0,28.0,32.0,58.0,59.0,0.0,40.0,88.0,0.0,28.0,10.0,0.0,36.0,0.0,0.0,18.0,0.0
652,3221,350,84.0,152.0,0.0,0.0,252,48.0,113.0,150.0,92.0,156.0,12.0,52.0,96.0,16.0,68.0,24.0,40.0,80.0,192.0,24.0,91,84.0,64.0,60,38,9.0,0.0,60.0,0.0,96.0,48.0,60.0,70.0,32.0,76.0,0.0,78.0,48.0,0.0,96.0,0.0,84.0,18.0,16.0,8.0,36.0,77.0,14.0,27.0,78.0,29.0,0.0,137.0,0.0,36.0,0.0
653,2713,203,182.0,80.0,0.0,8.0,104,48.0,0.0,178.0,176.0,154.0,68.0,78.0,144.0,151.0,60.0,0.0,0.0,16.0,40.0,160.0,13,35.0,48.0,61,38,24.0,11.0,36.0,0.0,24.0,48.0,0.0,28.0,16.0,0.0,24.0,30.0,16.0,24.0,24.0,16.0,52.0,28.0,84.0,0.0,59.0,131.0,0.0,76.0,24.0,0.0,56.0,40.0,0.0,0.0,0.0
654,3150,304,88.0,204.0,0.0,12.0,201,56.0,94.0,38.0,124.0,120.0,16.0,72.0,108.0,200.0,82.0,72.0,0.0,0.0,96.0,0.0,64,152.0,40.0,54,49,16.0,0.0,48.0,20.0,72.0,48.0,60.0,92.0,84.0,48.0,0.0,12.0,72.0,40.0,38.0,72.0,46.0,40.0,12.0,30.0,32.0,72.0,0.0,24.0,84.0,0.0,18.0,32.0,68.0,28.0,0.0
655,2769,194,30.0,84.0,54.0,48.0,97,116.0,126.0,156.0,174.0,90.0,72.0,56.0,24.0,24.0,16.0,34.0,12.0,12.0,132.0,74.0,104,0.0,30.0,53,44,0.0,6.0,105.0,32.0,0.0,24.0,0.0,58.0,56.0,24.0,0.0,36.0,48.0,36.0,90.0,19.0,16.0,28.0,44.0,3.0,70.0,128.0,68.0,30.0,154.0,0.0,0.0,0.0,8.0,24.0,0.0
656,2634,202,242.0,36.0,24.0,104.0,99,16.0,0.0,172.0,234.0,122.0,46.0,0.0,96.0,0.0,52.0,60.0,0.0,32.0,72.0,48.0,21,0.0,18.0,59,44,6.0,0.0,32.0,0.0,24.0,60.0,18.0,0.0,32.0,56.0,0.0,72.0,78.0,42.0,32.0,0.0,46.0,36.0,0.0,88.0,16.0,72.0,6.0,54.0,108.0,36.0,48.0,8.0,24.0,43.0,0.0
657,3128,271,116.0,32.0,0.0,48.0,191,86.0,18.0,132.0,274.0,36.0,84.0,8.0,48.0,72.0,40.0,0.0,36.0,48.0,40.0,228.0,39,92.0,48.0,51,29,24.0,0.0,84.0,80.0,48.0,0.0,0.0,12.0,54.0,70.0,44.0,0.0,40.0,0.0,145.0,32.0,18.0,56.0,80.0,80.0,54.0,0.0,0.0,32.0,60.0,16.0,145.0,134.0,0.0,24.0,0.0
658,3057,161,72.0,106.0,16.0,0.0,76,148.0,0.0,54.0,268.0,0.0,48.0,128.0,126.0,32.0,20.0,12.0,12.0,84.0,56.0,102.0,170,16.0,96.0,49,36,0.0,0.0,0.0,52.0,120.0,54.0,36.0,68.0,0.0,72.0,16.0,0.0,34.0,18.0,36.0,0.0,32.0,60.0,18.0,32.0,72.0,162.0,128.0,118.0,0.0,18.0,24.0,24.0,88.0,48.0,0.0
659,3350,245,158.0,190.0,0.0,0.0,142,236.0,0.0,80.0,144.0,260.0,100.0,0.0,64.0,128.0,84.0,112.0,86.0,0.0,44.0,52.0,41,72.0,84.0,61,42,48.0,0.0,60.0,40.0,100.0,8.0,6.0,116.0,16.0,48.0,0.0,0.0,76.0,0.0,176.0,16.0,40.0,48.0,104.0,0.0,68.0,36.0,36.0,40.0,64.0,0.0,0.0,24.0,0.0,0.0,0.0
660,2987,220,152.0,156.0,0.0,64.0,97,42.0,32.0,8.0,92.0,140.0,72.0,58.0,176.0,20.0,48.0,40.0,0.0,0.0,20.0,119.0,77,0.0,36.0,82,41,60.0,0.0,96.0,0.0,44.0,72.0,30.0,96.0,0.0,40.0,0.0,20.0,48.0,204.0,0.0,16.0,18.0,24.0,38.0,24.0,35.0,38.0,62.0,120.0,184.0,54.0,16.0,28.0,48.0,0.0,0.0
661,3064,393,0.0,140.0,0.0,36.0,280,100.0,90.0,100.0,146.0,0.0,70.0,80.0,48.0,24.0,48.0,60.0,0.0,8.0,0.0,146.0,84,12.0,0.0,76,37,192.0,38.0,46.0,0.0,36.0,48.0,78.0,56.0,24.0,0.0,36.0,43.0,0.0,48.0,96.0,24.0,128.0,120.0,12.0,24.0,56.0,0.0,12.0,108.0,88.0,32.0,28.0,46.0,24.0,36.0,0.0
662,2952,325,24.0,204.0,0.0,72.0,187,96.0,0.0,0.0,164.0,64.0,52.0,66.0,124.0,12.0,24.0,96.0,54.0,16.0,108.0,80.0,113,52.0,88.0,91,47,96.0,0.0,72.0,0.0,80.0,24.0,0.0,0.0,36.0,72.0,0.0,24.0,0.0,18.0,124.0,0.0,60.0,32.0,20.0,58.0,104.0,86.0,32.0,48.0,0.0,16.0,24.0,24.0,68.0,0.0,0.0
663,2881,272,8.0,40.0,0.0,96.0,142,48.0,91.0,190.0,148.0,104.0,46.0,48.0,68.0,24.0,46.0,52.0,0.0,0.0,36.0,36.0,39,96.0,58.0,94,36,0.0,0.0,192.0,0.0,0.0,43.0,16.0,204.0,56.0,0.0,0.0,0.0,16.0,24.0,20.0,32.0,56.0,0.0,76.0,144.0,80.0,136.0,0.0,9.0,21.0,72.0,86.0,0.0,48.0,4.0,0.0
664,2591,277,92.0,64.0,12.0,0.0,183,84.0,52.0,104.0,94.0,48.0,172.0,38.0,96.0,12.0,96.0,24.0,24.0,0.0,36.0,128.0,13,44.0,68.0,56,38,0.0,0.0,12.0,0.0,16.0,36.0,36.0,52.0,66.0,64.0,0.0,0.0,86.0,24.0,60.0,16.0,0.0,122.0,54.0,16.0,0.0,52.0,0.0,48.0,114.0,0.0,34.0,96.0,0.0,9.0,0.0
665,3186,354,112.0,48.0,0.0,36.0,220,275.0,16.0,75.0,126.0,108.0,56.0,16.0,144.0,48.0,56.0,48.0,0.0,48.0,45.0,88.0,95,103.0,24.0,101,33,60.0,48.0,59.0,0.0,46.0,100.0,90.0,120.0,0.0,48.0,32.0,0.0,72.0,0.0,0.0,0.0,0.0,107.0,24.0,20.0,43.0,48.0,0.0,32.0,237.0,0.0,0.0,43.0,36.0,0.0,0.0
666,2863,241,16.0,232.0,32.0,0.0,154,48.0,0.0,59.0,228.0,80.0,84.0,0.0,88.0,178.0,138.0,92.0,0.0,0.0,112.0,12.0,13,0.0,76.0,58,29,32.0,0.0,0.0,0.0,20.0,56.0,64.0,48.0,64.0,120.0,32.0,36.0,8.0,48.0,50.0,24.0,24.0,60.0,32.0,12.0,42.0,112.0,60.0,0.0,0.0,52.0,18.0,84.0,36.0,0.0,0.0
667,3305,258,72.0,296.0,0.0,68.0,166,172.0,0.0,108.0,392.0,18.0,48.0,88.0,40.0,0.0,12.0,48.0,0.0,12.0,128.0,108.0,65,32.0,48.0,56,36,45.0,6.0,72.0,0.0,36.0,204.0,0.0,72.0,0.0,70.0,0.0,130.0,20.0,82.0,30.0,36.0,44.0,16.0,96.0,30.0,36.0,16.0,0.0,72.0,104.0,24.0,12.0,12.0,0.0,27.0,0.0
668,3006,226,20.0,140.0,0.0,80.0,116,84.0,96.0,12.0,92.0,108.0,24.0,0.0,48.0,0.0,95.0,48.0,44.0,16.0,36.0,340.0,81,24.0,64.0,73,37,48.0,8.0,32.0,48.0,34.0,24.0,84.0,48.0,86.0,45.0,0.0,36.0,48.0,76.0,8.0,0.0,56.0,72.0,36.0,0.0,92.0,174.0,32.0,36.0,0.0,0.0,24.0,130.0,51.0,0.0,0.0
669,2542,258,72.0,156.0,24.0,0.0,155,144.0,54.0,82.0,120.0,130.0,98.0,58.0,40.0,48.0,6.0,16.0,40.0,0.0,0.0,96.0,78,24.0,30.0,64,39,36.0,0.0,48.0,18.0,34.0,72.0,52.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,56.0,70.0,46.0,0.0,12.0,44.0,48.0,76.0,36.0,48.0,56.0,0.0,40.0,48.0,32.0,0.0,0.0
670,2785,289,68.0,133.0,0.0,66.0,189,120.0,160.0,96.0,132.0,72.0,56.0,28.0,144.0,44.0,60.0,60.0,0.0,12.0,8.0,92.0,34,20.0,76.0,56,44,60.0,16.0,84.0,0.0,72.0,45.0,0.0,86.0,36.0,54.0,0.0,0.0,48.0,0.0,0.0,48.0,16.0,16.0,48.0,16.0,0.0,24.0,8.0,152.0,120.0,24.0,0.0,6.0,36.0,0.0,0.0
671,2818,335,24.0,122.0,0.0,0.0,227,48.0,30.0,64.0,132.0,42.0,208.0,20.0,104.0,0.0,0.0,60.0,32.0,32.0,80.0,110.0,31,0.0,8.0,63,45,96.0,6.0,36.0,0.0,0.0,30.0,0.0,36.0,28.0,0.0,32.0,18.0,88.0,62.0,64.0,24.0,34.0,92.0,8.0,60.0,96.0,268.0,24.0,32.0,90.0,24.0,0.0,36.0,20.0,32.0,0.0
672,2584,216,0.0,61.0,0.0,72.0,132,224.0,0.0,88.0,168.0,52.0,28.0,40.0,68.0,24.0,24.0,64.0,12.0,84.0,106.0,24.0,138,32.0,12.0,45,39,24.0,12.0,82.0,0.0,24.0,112.0,144.0,45.0,24.0,80.0,12.0,24.0,32.0,32.0,0.0,56.0,20.0,12.0,0.0,0.0,0.0,28.0,20.0,100.0,0.0,64.0,36.0,0.0,64.0,0.0,0.0
673,3131,276,188.0,84.0,0.0,32.0,105,64.0,28.0,0.0,128.0,109.0,0.0,48.0,48.0,0.0,164.0,62.0,0.0,0.0,88.0,48.0,51,8.0,156.0,130,41,16.0,0.0,24.0,0.0,0.0,104.0,56.0,0.0,18.0,54.0,8.0,30.0,184.0,132.0,120.0,64.0,132.0,42.0,52.0,0.0,98.0,42.0,0.0,60.0,256.0,0.0,0.0,30.0,0.0,27.0,0.0
674,3271,200,100.0,120.0,48.0,60.0,105,96.0,36.0,120.0,104.0,216.0,0.0,74.0,128.0,48.0,112.0,20.0,0.0,56.0,14.0,210.0,53,56.0,66.0,54,41,32.0,64.0,36.0,28.0,74.0,36.0,16.0,82.0,116.0,115.0,40.0,60.0,27.0,24.0,48.0,0.0,72.0,88.0,0.0,0.0,0.0,60.0,40.0,124.0,68.0,0.0,16.0,68.0,0.0,0.0,0.0
675,2899,186,188.0,56.0,32.0,16.0,90,48.0,98.0,88.0,214.0,152.0,16.0,24.0,70.0,0.0,48.0,24.0,20.0,24.0,88.0,0.0,13,0.0,116.0,53,43,0.0,6.0,109.0,0.0,36.0,36.0,0.0,56.0,0.0,166.0,24.0,36.0,0.0,0.0,16.0,8.0,0.0,92.0,44.0,56.0,131.0,228.0,20.0,96.0,96.0,0.0,16.0,106.0,0.0,0.0,0.0
676,2466,285,9.0,28.0,16.0,0.0,199,88.0,24.0,96.0,288.0,72.0,20.0,60.0,100.0,60.0,0.0,40.0,36.0,36.0,80.0,48.0,78,0.0,68.0,39,47,60.0,16.0,12.0,0.0,39.0,39.0,0.0,12.0,56.0,0.0,0.0,72.0,84.0,0.0,36.0,28.0,0.0,27.0,72.0,18.0,0.0,96.0,48.0,24.0,8.0,96.0,0.0,0.0,0.0,91.0,0.0
677,2851,234,8.0,32.0,24.0,0.0,112,222.0,80.0,144.0,168.0,24.0,68.0,104.0,126.0,0.0,0.0,0.0,12.0,52.0,108.0,64.0,139,76.0,192.0,75,47,24.0,8.0,0.0,0.0,16.0,12.0,0.0,50.0,52.0,16.0,48.0,9.0,0.0,0.0,42.0,48.0,64.0,44.0,52.0,24.0,52.0,260.0,20.0,0.0,88.0,0.0,0.0,0.0,0.0,45.0,0.0
678,2948,208,104.0,136.0,16.0,64.0,108,52.0,64.0,32.0,140.0,260.0,88.0,24.0,56.0,0.0,72.0,144.0,62.0,0.0,136.0,24.0,100,109.0,96.0,56,44,16.0,0.0,32.0,0.0,32.0,36.0,18.0,22.0,0.0,0.0,36.0,72.0,18.0,0.0,90.0,24.0,72.0,24.0,32.0,62.0,56.0,16.0,0.0,48.0,8.0,6.0,15.0,90.0,32.0,104.0,0.0
679,2971,336,180.0,63.0,102.0,32.0,242,118.0,104.0,48.0,160.0,36.0,167.0,40.0,190.0,24.0,0.0,0.0,12.0,64.0,96.0,104.0,15,16.0,125.0,56,38,32.0,0.0,80.0,0.0,16.0,39.0,94.0,0.0,68.0,32.0,0.0,18.0,92.0,0.0,0.0,16.0,52.0,72.0,28.0,72.0,32.0,84.0,20.0,0.0,24.0,16.0,0.0,52.0,0.0,0.0,0.0
680,3130,201,32.0,160.0,8.0,32.0,105,72.0,88.0,101.0,264.0,120.0,32.0,88.0,64.0,24.0,180.0,60.0,0.0,0.0,50.0,92.0,98,64.0,36.0,54,42,50.0,20.0,24.0,40.0,6.0,66.0,0.0,72.0,0.0,32.0,0.0,20.0,93.0,0.0,32.0,42.0,0.0,98.0,40.0,24.0,104.0,48.0,24.0,16.0,293.0,0.0,12.0,12.0,96.0,0.0,0.0
681,2961,367,72.0,72.0,0.0,16.0,256,0.0,24.0,12.0,60.0,424.0,48.0,76.0,128.0,0.0,42.0,32.0,48.0,24.0,48.0,72.0,48,52.0,36.0,66,45,36.0,30.0,231.0,0.0,0.0,64.0,88.0,0.0,32.0,32.0,72.0,0.0,0.0,0.0,36.0,32.0,72.0,48.0,0.0,0.0,47.0,12.0,128.0,56.0,60.0,78.0,0.0,20.0,86.0,0.0,0.0
682,3072,271,64.0,196.0,0.0,96.0,178,72.0,97.0,106.0,76.0,138.0,24.0,32.0,66.0,0.0,38.0,76.0,20.0,92.0,40.0,52.0,73,16.0,72.0,53,40,0.0,16.0,80.0,0.0,0.0,0.0,18.0,42.0,48.0,24.0,0.0,27.0,120.0,16.0,72.0,56.0,84.0,72.0,32.0,0.0,86.0,0.0,0.0,186.0,142.0,44.0,80.0,70.0,40.0,0.0,0.0
683,2882,205,16.0,32.0,0.0,24.0,107,72.0,32.0,24.0,150.0,18.0,121.0,16.0,218.0,30.0,32.0,3.0,64.0,64.0,16.0,48.0,166,36.0,123.0,61,37,0.0,34.0,48.0,0.0,16.0,56.0,0.0,112.0,27.0,0.0,52.0,75.0,0.0,0.0,96.0,0.0,84.0,72.0,67.0,16.0,64.0,259.0,28.0,34.0,60.0,0.0,0.0,20.0,104.0,48.0,0.0
